"Run","LTE","Cultivar","Trt","Date","Sample"
"211013AA",-10.1,"LC","field",2021-10-13,"AA"
"211013AA",-10.7,"LC","field",2021-10-13,"AA"
"211013AA",-10.8,"LC","field",2021-10-13,"AA"
"211013AA",-10.9,"LC","field",2021-10-13,"AA"
"211013AA",-11,"LC","field",2021-10-13,"AA"
"211013AA",-11,"LC","field",2021-10-13,"AA"
"211013AA",-11.1,"LC","field",2021-10-13,"AA"
"211013AA",-11.2,"MQ","field",2021-10-13,"AA"
"211013AA",-11.2,"LC","field",2021-10-13,"AA"
"211013AA",-11.3,"LC","field",2021-10-13,"AA"
"211013AA",-11.3,"BR","field",2021-10-13,"AA"
"211013AA",-11.4,"LC","field",2021-10-13,"AA"
"211013AA",-11.4,"LC","field",2021-10-13,"AA"
"211013AA",-11.5,"LC","field",2021-10-13,"AA"
"211013AA",-11.5,"LC","field",2021-10-13,"AA"
"211013AA",-11.6,"LC","field",2021-10-13,"AA"
"211013AA",-11.6,"LC","field",2021-10-13,"AA"
"211013AA",-11.7,"LC","field",2021-10-13,"AA"
"211013AA",-11.7,"LC","field",2021-10-13,"AA"
"211013AA",-11.7,"LC","field",2021-10-13,"AA"
"211013AA",-11.9,"LC","field",2021-10-13,"AA"
"211013AA",-11.9,"LC","field",2021-10-13,"AA"
"211013AA",-11.9,"MQ","field",2021-10-13,"AA"
"211013AA",-12,"LC","field",2021-10-13,"AA"
"211013AA",-12.1,"BR","field",2021-10-13,"AA"
"211013AA",-12.1,"LC","field",2021-10-13,"AA"
"211013AA",-12.2,"LC","field",2021-10-13,"AA"
"211013AA",-12.2,"LC","field",2021-10-13,"AA"
"211013AA",-12.3,"LC","field",2021-10-13,"AA"
"211013AA",-12.5,"LC","field",2021-10-13,"AA"
"211013AA",-12.5,"LC","field",2021-10-13,"AA"
"211013AA",-12.5,"MQ","field",2021-10-13,"AA"
"211013AA",-12.7,"FR","field",2021-10-13,"AA"
"211013AA",-12.7,"LC","field",2021-10-13,"AA"
"211013AA",-12.7,"MQ","field",2021-10-13,"AA"
"211013AA",-12.8,"MQ","field",2021-10-13,"AA"
"211013AA",-12.9,"FR","field",2021-10-13,"AA"
"211013AA",-13.1,"FR","field",2021-10-13,"AA"
"211013AA",-13.1,"BR","field",2021-10-13,"AA"
"211013AA",-13.1,"LC","field",2021-10-13,"AA"
"211013AA",-13.2,"FR","field",2021-10-13,"AA"
"211013AA",-13.2,"MQ","field",2021-10-13,"AA"
"211013AA",-13.2,"MQ","field",2021-10-13,"AA"
"211013AA",-13.3,"BR","field",2021-10-13,"AA"
"211013AA",-13.3,"MQ","field",2021-10-13,"AA"
"211013AA",-13.3,"MQ","field",2021-10-13,"AA"
"211013AA",-13.3,"BR","field",2021-10-13,"AA"
"211013AA",-13.3,"FR","field",2021-10-13,"AA"
"211013AA",-13.4,"MQ","field",2021-10-13,"AA"
"211013AA",-13.5,"MQ","field",2021-10-13,"AA"
"211013AA",-13.5,"FR","field",2021-10-13,"AA"
"211013AA",-13.5,"BR","field",2021-10-13,"AA"
"211013AA",-13.6,"FR","field",2021-10-13,"AA"
"211013AA",-13.6,"BR","field",2021-10-13,"AA"
"211013AA",-13.6,"FR","field",2021-10-13,"AA"
"211013AA",-13.6,"FR","field",2021-10-13,"AA"
"211013AA",-13.6,"BR","field",2021-10-13,"AA"
"211013AA",-13.7,"FR","field",2021-10-13,"AA"
"211013AA",-13.8,"FR","field",2021-10-13,"AA"
"211013AA",-13.8,"MQ","field",2021-10-13,"AA"
"211013AA",-13.8,"MQ","field",2021-10-13,"AA"
"211013AA",-13.8,"BR","field",2021-10-13,"AA"
"211013AA",-13.9,"FR","field",2021-10-13,"AA"
"211013AA",-13.9,"BR","field",2021-10-13,"AA"
"211013AA",-13.9,"PP","field",2021-10-13,"AA"
"211013AA",-13.9,"BR","field",2021-10-13,"AA"
"211013AA",-13.9,"BR","field",2021-10-13,"AA"
"211013AA",-14,"FR","field",2021-10-13,"AA"
"211013AA",-14,"FR","field",2021-10-13,"AA"
"211013AA",-14,"PP","field",2021-10-13,"AA"
"211013AA",-14,"MQ","field",2021-10-13,"AA"
"211013AA",-14.1,"FR","field",2021-10-13,"AA"
"211013AA",-14.1,"MQ","field",2021-10-13,"AA"
"211013AA",-14.1,"BR","field",2021-10-13,"AA"
"211013AA",-14.1,"BR","field",2021-10-13,"AA"
"211013AA",-14.1,"MQ","field",2021-10-13,"AA"
"211013AA",-14.1,"BR","field",2021-10-13,"AA"
"211013AA",-14.1,"FR","field",2021-10-13,"AA"
"211013AA",-14.1,"BR","field",2021-10-13,"AA"
"211013AA",-14.2,"BR","field",2021-10-13,"AA"
"211013AA",-14.2,"MQ","field",2021-10-13,"AA"
"211013AA",-14.2,"MQ","field",2021-10-13,"AA"
"211013AA",-14.2,"PP","field",2021-10-13,"AA"
"211013AA",-14.2,"FR","field",2021-10-13,"AA"
"211013AA",-14.2,"BR","field",2021-10-13,"AA"
"211013AA",-14.2,"MQ","field",2021-10-13,"AA"
"211013AA",-14.3,"BR","field",2021-10-13,"AA"
"211013AA",-14.3,"FR","field",2021-10-13,"AA"
"211013AA",-14.3,"PP","field",2021-10-13,"AA"
"211013AA",-14.3,"PP","field",2021-10-13,"AA"
"211013AA",-14.3,"MQ","field",2021-10-13,"AA"
"211013AA",-14.3,"PP","field",2021-10-13,"AA"
"211013AA",-14.4,"FR","field",2021-10-13,"AA"
"211013AA",-14.4,"MQ","field",2021-10-13,"AA"
"211013AA",-14.4,"BR","field",2021-10-13,"AA"
"211013AA",-14.4,"FR","field",2021-10-13,"AA"
"211013AA",-14.4,"PP","field",2021-10-13,"AA"
"211013AA",-14.4,"PP","field",2021-10-13,"AA"
"211013AA",-14.4,"FR","field",2021-10-13,"AA"
"211013AA",-14.5,"MQ","field",2021-10-13,"AA"
"211013AA",-14.5,"PP","field",2021-10-13,"AA"
"211013AA",-14.5,"MQ","field",2021-10-13,"AA"
"211013AA",-14.5,"BR","field",2021-10-13,"AA"
"211013AA",-14.6,"PP","field",2021-10-13,"AA"
"211013AA",-14.6,"PP","field",2021-10-13,"AA"
"211013AA",-14.6,"PP","field",2021-10-13,"AA"
"211013AA",-14.7,"FR","field",2021-10-13,"AA"
"211013AA",-14.7,"FR","field",2021-10-13,"AA"
"211013AA",-14.8,"MQ","field",2021-10-13,"AA"
"211013AA",-14.8,"MQ","field",2021-10-13,"AA"
"211013AA",-14.8,"FR","field",2021-10-13,"AA"
"211013AA",-14.8,"BR","field",2021-10-13,"AA"
"211013AA",-14.8,"PP","field",2021-10-13,"AA"
"211013AA",-14.8,"BR","field",2021-10-13,"AA"
"211013AA",-14.8,"FR","field",2021-10-13,"AA"
"211013AA",-14.8,"BR","field",2021-10-13,"AA"
"211013AA",-14.9,"PP","field",2021-10-13,"AA"
"211013AA",-14.9,"PP","field",2021-10-13,"AA"
"211013AA",-14.9,"MQ","field",2021-10-13,"AA"
"211013AA",-14.9,"MQ","field",2021-10-13,"AA"
"211013AA",-15,"MQ","field",2021-10-13,"AA"
"211013AA",-15.1,"PP","field",2021-10-13,"AA"
"211013AA",-15.1,"PP","field",2021-10-13,"AA"
"211013AA",-15.1,"PP","field",2021-10-13,"AA"
"211013AA",-15.1,"FR","field",2021-10-13,"AA"
"211013AA",-15.2,"LC","field",2021-10-13,"AA"
"211013AA",-15.2,"FR","field",2021-10-13,"AA"
"211013AA",-15.2,"BR","field",2021-10-13,"AA"
"211013AA",-15.2,"PP","field",2021-10-13,"AA"
"211013AA",-15.2,"PP","field",2021-10-13,"AA"
"211013AA",-15.2,"BR","field",2021-10-13,"AA"
"211013AA",-15.3,"FR","field",2021-10-13,"AA"
"211013AA",-15.3,"FR","field",2021-10-13,"AA"
"211013AA",-15.3,"BR","field",2021-10-13,"AA"
"211013AA",-15.3,"PP","field",2021-10-13,"AA"
"211013AA",-15.3,"BR","field",2021-10-13,"AA"
"211013AA",-15.4,"PP","field",2021-10-13,"AA"
"211013AA",-15.4,"PP","field",2021-10-13,"AA"
"211013AA",-15.4,"PP","field",2021-10-13,"AA"
"211013AA",-15.5,"BR","field",2021-10-13,"AA"
"211013AA",-15.7,"PP","field",2021-10-13,"AA"
"211013AA",-15.7,"BR","field",2021-10-13,"AA"
"211013AA",-15.8,"PP","field",2021-10-13,"AA"
"211013AA",-15.8,"MQ","field",2021-10-13,"AA"
"211013AA",-16.1,"PP","field",2021-10-13,"AA"
"211013AA",-16.3,"MQ","field",2021-10-13,"AA"
"211013AA",-16.5,"PP","field",2021-10-13,"AA"
"211013AA",-16.8,"PP","field",2021-10-13,"AA"
"211013AA",-17,"FR","field",2021-10-13,"AA"
"211026AB",-10.3,"LC","constant",2021-10-26,"AB"
"211026AB",-10.6,"BR","constant",2021-10-26,"AB"
"211026AB",-11,"BR","constant",2021-10-26,"AB"
"211026AB",-11.2,"BR","constant",2021-10-26,"AB"
"211026AB",-11.3,"BR","constant",2021-10-26,"AB"
"211026AB",-11.5,"LC","constant",2021-10-26,"AB"
"211026AB",-11.9,"LC","constant",2021-10-26,"AB"
"211026AB",-12.2,"LC","constant",2021-10-26,"AB"
"211026AB",-12.3,"BR","constant",2021-10-26,"AB"
"211026AB",-12.3,"MQ","constant",2021-10-26,"AB"
"211026AB",-12.3,"BR","constant",2021-10-26,"AB"
"211026AB",-12.5,"LC","constant",2021-10-26,"AB"
"211026AB",-12.7,"BR","constant",2021-10-26,"AB"
"211026AB",-12.7,"BR","constant",2021-10-26,"AB"
"211026AB",-12.8,"MQ","constant",2021-10-26,"AB"
"211026AB",-12.9,"LC","constant",2021-10-26,"AB"
"211026AB",-13,"BR","constant",2021-10-26,"AB"
"211026AB",-13,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.1,"PP","constant",2021-10-26,"AB"
"211026AB",-13.1,"LC","constant",2021-10-26,"AB"
"211026AB",-13.2,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.3,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.3,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.3,"BR","constant",2021-10-26,"AB"
"211026AB",-13.4,"BR","constant",2021-10-26,"AB"
"211026AB",-13.4,"FR","constant",2021-10-26,"AB"
"211026AB",-13.5,"BR","constant",2021-10-26,"AB"
"211026AB",-13.5,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.5,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.5,"LC","constant",2021-10-26,"AB"
"211026AB",-13.7,"LC","constant",2021-10-26,"AB"
"211026AB",-13.8,"BR","constant",2021-10-26,"AB"
"211026AB",-13.8,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.8,"MQ","constant",2021-10-26,"AB"
"211026AB",-13.8,"PP","constant",2021-10-26,"AB"
"211026AB",-13.8,"FR","constant",2021-10-26,"AB"
"211026AB",-13.9,"FR","constant",2021-10-26,"AB"
"211026AB",-13.9,"PP","constant",2021-10-26,"AB"
"211026AB",-13.9,"PP","constant",2021-10-26,"AB"
"211026AB",-13.9,"LC","constant",2021-10-26,"AB"
"211026AB",-14,"LC","constant",2021-10-26,"AB"
"211026AB",-14,"PP","constant",2021-10-26,"AB"
"211026AB",-14,"PP","constant",2021-10-26,"AB"
"211026AB",-14.1,"BR","constant",2021-10-26,"AB"
"211026AB",-14.1,"PP","constant",2021-10-26,"AB"
"211026AB",-14.2,"MQ","constant",2021-10-26,"AB"
"211026AB",-14.2,"FR","constant",2021-10-26,"AB"
"211026AB",-14.4,"PP","constant",2021-10-26,"AB"
"211026AB",-14.4,"LC","constant",2021-10-26,"AB"
"211026AB",-14.5,"BR","constant",2021-10-26,"AB"
"211026AB",-14.5,"PP","constant",2021-10-26,"AB"
"211026AB",-14.6,"MQ","constant",2021-10-26,"AB"
"211026AB",-14.8,"FR","constant",2021-10-26,"AB"
"211026AB",-14.9,"PP","constant",2021-10-26,"AB"
"211026AB",-15,"PP","constant",2021-10-26,"AB"
"211026AB",-15,"MQ","constant",2021-10-26,"AB"
"211026AB",-15,"FR","constant",2021-10-26,"AB"
"211026AB",-15.1,"LC","constant",2021-10-26,"AB"
"211026AB",-15.1,"PP","constant",2021-10-26,"AB"
"211026AB",-15.1,"FR","constant",2021-10-26,"AB"
"211026AB",-15.4,"FR","constant",2021-10-26,"AB"
"211026AB",-15.5,"MQ","constant",2021-10-26,"AB"
"211026AB",-15.5,"MQ","constant",2021-10-26,"AB"
"211026AB",-15.6,"FR","constant",2021-10-26,"AB"
"211026AB",-15.6,"PP","constant",2021-10-26,"AB"
"211026AB",-15.7,"FR","constant",2021-10-26,"AB"
"211026AB",-15.9,"FR","constant",2021-10-26,"AB"
"211026AB",-15.9,"FR","constant",2021-10-26,"AB"
"211026AB",-16,"PP","constant",2021-10-26,"AB"
"211026AB",-16.6,"FR","constant",2021-10-26,"AB"
"211026AB",-16.7,"FR","constant",2021-10-26,"AB"
"211026AB",-16.9,"LC","constant",2021-10-26,"AB"
"211026AB",-17.2,"FR","constant",2021-10-26,"AB"
"211026AB",-11.7,"LC","field",2021-10-26,"AB"
"211026AB",-12.5,"LC","field",2021-10-26,"AB"
"211026AB",-12.8,"LC","field",2021-10-26,"AB"
"211026AB",-13.2,"LC","field",2021-10-26,"AB"
"211026AB",-14.1,"LC","field",2021-10-26,"AB"
"211026AB",-14.1,"MQ","field",2021-10-26,"AB"
"211026AB",-14.6,"LC","field",2021-10-26,"AB"
"211026AB",-15.2,"LC","field",2021-10-26,"AB"
"211026AB",-15.3,"MQ","field",2021-10-26,"AB"
