Sample,Start,Trt,Cultivar,Sample.ID,BB_date,BB_days
AG,1/19/22,constant,BR,1,1/28/22,9
AG,1/19/22,constant,BR,2,1/29/22,10
AG,1/19/22,constant,BR,3,1/30/22,11
AG,1/19/22,constant,BR,4,1/31/22,12
AG,1/19/22,constant,BR,5,2/1/22,13
AG,1/19/22,constant,BR,6,2/2/22,14
AG,1/19/22,constant,BR,7,2/3/22,15
AG,1/19/22,constant,BR,8,2/3/22,15
AG,1/19/22,constant,BR,9,2/4/22,16
AG,1/19/22,constant,BR,10,2/8/22,20
AG,1/19/22,constant,FR,1,1/29/22,10
AG,1/19/22,constant,FR,2,2/1/22,13
AG,1/19/22,constant,FR,3,2/1/22,13
AG,1/19/22,constant,FR,4,2/2/22,14
AG,1/19/22,constant,FR,5,2/3/22,15
AG,1/19/22,constant,FR,6,2/4/22,16
AG,1/19/22,constant,FR,7,2/6/22,18
AG,1/19/22,constant,FR,8,2/7/22,19
AG,1/19/22,constant,FR,9,2/9/22,21
AG,1/19/22,constant,FR,10,2/9/22,21
AG,1/19/22,constant,LC,1,1/27/22,8
AG,1/19/22,constant,LC,2,1/27/22,8
AG,1/19/22,constant,LC,3,1/29/22,10
AG,1/19/22,constant,LC,4,2/1/22,13
AG,1/19/22,constant,LC,5,2/4/22,16
AG,1/19/22,constant,LC,6,2/4/22,16
AG,1/19/22,constant,LC,7,2/6/22,18
AG,1/19/22,constant,LC,8,2/7/22,19
AG,1/19/22,constant,LC,9,2/10/22,22
AG,1/19/22,constant,LC,10,3/1/22,41
AG,1/19/22,constant,MQ,1,2/1/22,13
AG,1/19/22,constant,MQ,2,2/4/22,16
AG,1/19/22,constant,MQ,3,2/5/22,17
AG,1/19/22,constant,MQ,4,2/5/22,17
AG,1/19/22,constant,MQ,5,2/5/22,17
AG,1/19/22,constant,MQ,6,2/6/22,18
AG,1/19/22,constant,MQ,7,2/7/22,19
AG,1/19/22,constant,MQ,8,2/11/22,23
AG,1/19/22,constant,MQ,9,2/13/22,25
AG,1/19/22,constant,MQ,10,2/13/22,25
AG,1/19/22,constant,PP,1,1/29/22,10
AG,1/19/22,constant,PP,2,1/30/22,11
AG,1/19/22,constant,PP,3,1/30/22,11
AG,1/19/22,constant,PP,4,1/31/22,12
AG,1/19/22,constant,PP,5,1/31/22,12
AG,1/19/22,constant,PP,6,2/2/22,14
AG,1/19/22,constant,PP,7,2/4/22,16
AG,1/19/22,constant,PP,8,2/6/22,18
AG,1/19/22,constant,PP,9,2/9/22,21
AG,1/19/22,constant,PP,10,2/12/22,24
AG,1/19/22,field,BR,1,2/4/22,16
AG,1/19/22,field,BR,2,2/4/22,16
AG,1/19/22,field,BR,3,2/5/22,17
AG,1/19/22,field,BR,4,2/5/22,17
AG,1/19/22,field,BR,5,2/5/22,17
AG,1/19/22,field,BR,6,2/6/22,18
AG,1/19/22,field,BR,7,2/6/22,18
AG,1/19/22,field,BR,8,2/6/22,18
AG,1/19/22,field,BR,9,2/7/22,19
AG,1/19/22,field,BR,10,2/7/22,19
AG,1/19/22,field,BR,11,2/7/22,19
AG,1/19/22,field,BR,12,2/7/22,19
AG,1/19/22,field,BR,13,2/8/22,20
AG,1/19/22,field,BR,14,2/8/22,20
AG,1/19/22,field,BR,15,2/8/22,20
AG,1/19/22,field,FR,1,2/9/22,21
AG,1/19/22,field,FR,2,2/10/22,22
AG,1/19/22,field,FR,3,2/10/22,22
AG,1/19/22,field,FR,4,2/11/22,23
AG,1/19/22,field,FR,5,2/13/22,25
AG,1/19/22,field,FR,6,2/15/22,27
AG,1/19/22,field,FR,7,2/15/22,27
AG,1/19/22,field,FR,8,2/16/22,28
AG,1/19/22,field,FR,9,2/17/22,29
AG,1/19/22,field,FR,10,2/18/22,30
AG,1/19/22,field,FR,11,2/20/22,32
AG,1/19/22,field,FR,12,2/21/22,33
AG,1/19/22,field,FR,13,2/22/22,34
AG,1/19/22,field,FR,14,2/25/22,37
AG,1/19/22,field,LC,1,2/5/22,17
AG,1/19/22,field,LC,2,2/6/22,18
AG,1/19/22,field,LC,3,2/7/22,19
AG,1/19/22,field,LC,4,2/8/22,20
AG,1/19/22,field,LC,5,2/10/22,22
AG,1/19/22,field,LC,6,2/10/22,22
AG,1/19/22,field,LC,7,2/10/22,22
AG,1/19/22,field,LC,8,2/11/22,23
AG,1/19/22,field,LC,9,2/12/22,24
AG,1/19/22,field,LC,10,2/13/22,25
AG,1/19/22,field,LC,11,2/13/22,25
AG,1/19/22,field,LC,12,2/14/22,26
AG,1/19/22,field,LC,13,2/16/22,28
AG,1/19/22,field,LC,14,2/18/22,30
AG,1/19/22,field,MQ,1,2/2/22,14
AG,1/19/22,field,MQ,2,2/2/22,14
AG,1/19/22,field,MQ,3,2/7/22,19
AG,1/19/22,field,MQ,4,2/8/22,20
AG,1/19/22,field,MQ,5,2/8/22,20
AG,1/19/22,field,MQ,6,2/9/22,21
AG,1/19/22,field,MQ,7,2/9/22,21
AG,1/19/22,field,MQ,8,2/9/22,21
AG,1/19/22,field,MQ,9,2/10/22,22
AG,1/19/22,field,MQ,10,2/10/22,22
AG,1/19/22,field,MQ,11,2/12/22,24
AG,1/19/22,field,MQ,12,2/13/22,25
AG,1/19/22,field,MQ,13,2/14/22,26
AG,1/19/22,field,MQ,14,2/15/22,27
AG,1/19/22,field,MQ,15,2/17/22,29
AG,1/19/22,field,PP,1,2/3/22,15
AG,1/19/22,field,PP,2,2/7/22,19
AG,1/19/22,field,PP,3,2/7/22,19
AG,1/19/22,field,PP,4,2/8/22,20
AG,1/19/22,field,PP,5,2/8/22,20
AG,1/19/22,field,PP,6,2/9/22,21
AG,1/19/22,field,PP,7,2/9/22,21
AG,1/19/22,field,PP,8,2/9/22,21
AG,1/19/22,field,PP,9,2/9/22,21
AG,1/19/22,field,PP,10,2/10/22,22
AG,1/19/22,field,PP,11,2/10/22,22
AG,1/19/22,field,PP,12,2/11/22,23
AG,1/19/22,field,PP,13,2/13/22,25
AG,1/19/22,field,PP,14,2/13/22,25
AG,1/19/22,field,PP,15,2/19/22,31
AG,1/19/22,fluctuating,BR,1,1/27/22,8
AG,1/19/22,fluctuating,BR,2,1/30/22,11
AG,1/19/22,fluctuating,BR,3,1/31/22,12
AG,1/19/22,fluctuating,BR,4,1/31/22,12
AG,1/19/22,fluctuating,BR,5,2/1/22,13
AG,1/19/22,fluctuating,BR,6,2/2/22,14
AG,1/19/22,fluctuating,BR,7,2/3/22,15
AG,1/19/22,fluctuating,BR,8,2/9/22,21
AG,1/19/22,fluctuating,BR,9,2/14/22,26
AG,1/19/22,fluctuating,BR,10,2/20/22,32
AG,1/19/22,fluctuating,FR,1,2/2/22,14
AG,1/19/22,fluctuating,FR,2,2/2/22,14
AG,1/19/22,fluctuating,FR,3,2/3/22,15
AG,1/19/22,fluctuating,FR,4,2/3/22,15
AG,1/19/22,fluctuating,FR,5,2/4/22,16
AG,1/19/22,fluctuating,FR,6,2/5/22,17
AG,1/19/22,fluctuating,FR,7,2/6/22,18
AG,1/19/22,fluctuating,FR,8,2/8/22,20
AG,1/19/22,fluctuating,FR,9,2/10/22,22
AG,1/19/22,fluctuating,FR,10,2/12/22,24
AG,1/19/22,fluctuating,LC,1,1/29/22,10
AG,1/19/22,fluctuating,LC,2,1/31/22,12
AG,1/19/22,fluctuating,LC,3,2/1/22,13
AG,1/19/22,fluctuating,LC,4,2/2/22,14
AG,1/19/22,fluctuating,LC,5,2/2/22,14
AG,1/19/22,fluctuating,LC,6,2/4/22,16
AG,1/19/22,fluctuating,LC,7,2/4/22,16
AG,1/19/22,fluctuating,LC,8,2/5/22,17
AG,1/19/22,fluctuating,LC,9,2/5/22,17
AG,1/19/22,fluctuating,LC,10,2/19/22,31
AG,1/19/22,fluctuating,MQ,1,2/2/22,14
AG,1/19/22,fluctuating,MQ,2,2/2/22,14
AG,1/19/22,fluctuating,MQ,3,2/6/22,18
AG,1/19/22,fluctuating,MQ,4,2/8/22,20
AG,1/19/22,fluctuating,MQ,5,2/9/22,21
AG,1/19/22,fluctuating,MQ,6,2/10/22,22
AG,1/19/22,fluctuating,MQ,7,2/12/22,24
AG,1/19/22,fluctuating,MQ,8,2/19/22,31
AG,1/19/22,fluctuating,MQ,9,2/21/22,33
AG,1/19/22,fluctuating,MQ,10,2/23/22,35
AG,1/19/22,fluctuating,PP,1,2/1/22,13
AG,1/19/22,fluctuating,PP,2,2/2/22,14
AG,1/19/22,fluctuating,PP,3,2/2/22,14
AG,1/19/22,fluctuating,PP,4,2/5/22,17
AG,1/19/22,fluctuating,PP,5,2/6/22,18
AG,1/19/22,fluctuating,PP,6,2/7/22,19
AG,1/19/22,fluctuating,PP,7,2/8/22,20
AG,1/19/22,fluctuating,PP,8,2/9/22,21
AG,1/19/22,fluctuating,PP,9,2/9/22,21
AG,1/19/22,fluctuating,PP,10,2/22/22,34
AG,1/19/22,con-flu,BR,1,1/30/22,11
AG,1/19/22,con-flu,BR,2,1/31/22,12
AG,1/19/22,con-flu,BR,3,1/31/22,12
AG,1/19/22,con-flu,BR,4,2/2/22,14
AG,1/19/22,con-flu,BR,5,2/2/22,14
AG,1/19/22,con-flu,BR,6,2/4/22,16
AG,1/19/22,con-flu,BR,7,2/5/22,17
AG,1/19/22,con-flu,BR,8,2/7/22,19
AG,1/19/22,con-flu,BR,9,2/8/22,20
AG,1/19/22,con-flu,BR,10,2/20/22,32
AG,1/19/22,con-flu,FR,1,1/28/22,9
AG,1/19/22,con-flu,FR,2,1/29/22,10
AG,1/19/22,con-flu,FR,3,1/30/22,11
AG,1/19/22,con-flu,FR,4,2/3/22,15
AG,1/19/22,con-flu,FR,5,2/3/22,15
AG,1/19/22,con-flu,FR,6,2/3/22,15
AG,1/19/22,con-flu,FR,7,2/5/22,17
AG,1/19/22,con-flu,FR,8,2/6/22,18
AG,1/19/22,con-flu,FR,9,2/7/22,19
AG,1/19/22,con-flu,FR,10,2/7/22,19
AG,1/19/22,con-flu,LC,1,1/27/22,8
AG,1/19/22,con-flu,LC,2,2/1/22,13
AG,1/19/22,con-flu,LC,3,2/1/22,13
AG,1/19/22,con-flu,LC,4,2/2/22,14
AG,1/19/22,con-flu,LC,5,2/4/22,16
AG,1/19/22,con-flu,LC,6,2/4/22,16
AG,1/19/22,con-flu,LC,7,2/6/22,18
AG,1/19/22,con-flu,LC,8,2/7/22,19
AG,1/19/22,con-flu,LC,9,2/12/22,24
AG,1/19/22,con-flu,MQ,1,1/31/22,12
AG,1/19/22,con-flu,MQ,2,2/1/22,13
AG,1/19/22,con-flu,MQ,3,2/2/22,14
AG,1/19/22,con-flu,MQ,4,2/3/22,15
AG,1/19/22,con-flu,MQ,5,2/6/22,18
AG,1/19/22,con-flu,MQ,6,2/6/22,18
AG,1/19/22,con-flu,MQ,7,2/8/22,20
AG,1/19/22,con-flu,MQ,8,2/9/22,21
AG,1/19/22,con-flu,MQ,9,2/13/22,25
AG,1/19/22,con-flu,MQ,10,2/19/22,31
AG,1/19/22,con-flu,PP,1,1/30/22,11
AG,1/19/22,con-flu,PP,2,1/31/22,12
AG,1/19/22,con-flu,PP,3,2/2/22,14
AG,1/19/22,con-flu,PP,4,2/3/22,15
