Run,Sample_ID,LTE,Cultivar,Trt
220119AG,BR.constant,-8,BR,constant
220119AG,BR.constant,-9.6,BR,constant
220119AG,BR.constant,-11.2,BR,constant
220119AG,MQ.constant,-13.8,MQ,constant
220119AG,BR.constant,-13.9,BR,constant
220119AG,BR.constant,-14,BR,constant
220119AG,MQ.constant,-14.2,MQ,constant
220119AG,MQ.constant,-14.7,MQ,constant
220119AG,LC.constant,-14.7,LC,constant
220119AG,MQ.constant,-14.7,MQ,constant
220119AG,LC.constant,-14.8,LC,constant
220119AG,LC.constant,-15,LC,constant
220119AG,MQ.constant,-15.1,MQ,constant
220119AG,BR.constant,-15.5,BR,constant
220119AG,PP.constant,-15.5,PP,constant
220119AG,LC.constant,-15.6,LC,constant
220119AG,MQ.constant,-15.6,MQ,constant
220119AG,LC.constant,-15.7,LC,constant
220119AG,LC.constant,-15.8,LC,constant
220119AG,BR.constant,-15.9,BR,constant
220119AG,PP.constant,-15.9,PP,constant
220119AG,LC.constant,-15.9,LC,constant
220119AG,BR.constant,-16,BR,constant
220119AG,MQ.constant,-16.1,MQ,constant
220119AG,MQ.fluctuating,-16.3,MQ,fluctuating
220119AG,LC.constant,-16.3,LC,constant
220119AG,BR.constant,-16.3,BR,constant
220119AG,BR.constant,-16.4,BR,constant
220119AG,PP.constant,-16.4,PP,constant
220119AG,PP.constant,-16.4,PP,constant
220119AG,PP.constant,-16.5,PP,constant
220119AG,MQ.constant,-16.5,MQ,constant
220119AG,PP.constant,-16.6,PP,constant
220119AG,BR.constant,-16.6,BR,constant
220119AG,LC.constant,-16.7,LC,constant
220119AG,BR.constant,-16.7,BR,constant
220119AG,PP.constant,-16.8,PP,constant
220119AG,MQ.constant,-16.9,MQ,constant
220119AG,BR.fluctuating,-17,BR,fluctuating
220119AG,PP.constant,-17,PP,constant
220119AG,LC.constant,-17,LC,constant
220119AG,PP.constant,-17.2,PP,constant
220119AG,LC.constant,-17.2,LC,constant
220119AG,LC.fluctuating,-17.2,LC,fluctuating
220119AG,MQ.constant,-17.3,MQ,constant
220119AG,LC.fluctuating,-17.4,LC,fluctuating
220119AG,PP.constant,-17.5,PP,constant
220119AG,LC.constant,-17.5,LC,constant
220119AG,FR.constant,-17.5,FR,constant
220119AG,BR.constant,-17.6,BR,constant
220119AG,PP.constant,-17.7,PP,constant
220119AG,LC.constant,-17.8,LC,constant
220119AG,BR.constant,-17.9,BR,constant
220119AG,PP.constant,-17.9,PP,constant
220119AG,MQ.constant,-17.9,MQ,constant
220119AG,BR.constant,-18.1,BR,constant
220119AG,BR.fluctuating,-18.3,BR,fluctuating
220119AG,LC.fluctuating,-18.3,LC,fluctuating
220119AG,LC.fluctuating,-18.4,LC,fluctuating
220119AG,MQ.fluctuating,-18.4,MQ,fluctuating
220119AG,MQ.constant,-18.4,MQ,constant
220119AG,FR.constant,-18.5,FR,constant
220119AG,BR.fluctuating,-18.6,BR,fluctuating
220119AG,BR.fluctuating,-18.7,BR,fluctuating
220119AG,MQ.fluctuating,-18.8,MQ,fluctuating
220119AG,LC.fluctuating,-18.8,LC,fluctuating
220119AG,FR.constant,-18.8,FR,constant
220119AG,FR.constant,-18.9,FR,constant
220119AG,FR.constant,-19,FR,constant
220119AG,MQ.fluctuating,-19.1,MQ,fluctuating
