Species,Temperature,191125,191201,191205,191210,191215,200130
Picea abies,-3,23,23.1,,26.9,,27.2
Picea abies,-3,23.7,24.8,,28.4,,31.1
Picea abies,-3,24.1,26.1,,28.5,,37.6
Picea abies,-3,24.4,26.8,,28.7,,
Picea abies,-3,21.4,26.4,,29.9,,
Picea abies,-3,22.5,29.3,,,,
Picea abies,-3,22.9,,,,,
Picea abies,-3,,,,,,
Picea abies,-3,,,,,,
Picea abies,-3,,,,,,
Forsythia,-3,15.5,20.9,,23.6,,23.8
Forsythia,-3,20.8,22,,25.4,,23.9
Forsythia,-3,22.6,23.6,,25.6,,24.4
Forsythia,-3,23.6,24.1,,26.1,,24.6
Forsythia,-3,21.8,24.6,,27.2,,24.8
Forsythia,-3,21.9,25,,,,25.5
Forsythia,-3,22.2,,,,,25.6
Forsythia,-3,22.4,,,,,26.4
Forsythia,-3,,,,,,26.5
Forsythia,-3,,,,,,
Cornus mas,-3,15.6,20.3,,20.7,,
Cornus mas,-3,18.3,20.9,,21.2,,
Cornus mas,-3,19.2,21.8,,22.3,,
Cornus mas,-3,20,22.8,,22.5,,
Cornus mas,-3,21.6,23.5,,22.8,,
Cornus mas,-3,17.4,23.9,,23.7,,
Cornus mas,-3,18.8,24.6,,25.1,,
Cornus mas,-3,19.8,25.1,,26,,
Cornus mas,-3,20.5,25.9,,26.8,,
Cornus mas,-3,21.7,26.3,,27.6,,
Acer saccharum,-3,24.3,29.1,,30,,29.4
Acer saccharum,-3,24.9,29.6,,30.6,,33.9
Acer saccharum,-3,25.5,31.1,,31.5,,34
Acer saccharum,-3,25.9,32.5,,33,,
Acer saccharum,-3,28,33.4,,,,
Acer saccharum,-3,31,34.4,,,,
Acer saccharum,-3,,,,,,
Acer saccharum,-3,,,,,,
Acer saccharum,-3,,,,,,
Acer saccharum,-3,,,,,,
Acer rubrum,-3,21.5,22.8,,23.7,,33.5
Acer rubrum,-3,21.9,23.9,,24.4,,34.1
Acer rubrum,-3,22.3,24.1,,25.1,,34.7
Acer rubrum,-3,24.2,25.3,,26.2,,35.1
Acer rubrum,-3,24.6,25.7,,26.7,,
Acer rubrum,-3,25.2,26.3,,27.4,,
Acer rubrum,-3,21.1,26.9,,27.7,,
Acer rubrum,-3,21.7,27.3,,28.6,,
Acer rubrum,-3,22,28.1,,29.4,,
Acer rubrum,-3,22.9,,,29.5,,
Larix kaempferi,-3,21.1,24.9,,28.2,,25.2
Larix kaempferi,-3,23,25.4,,28.8,,25.3
Larix kaempferi,-3,23.7,27,,29.4,,25.4
Larix kaempferi,-3,25.2,27.5,,29.6,,25.8
Larix kaempferi,-3,22.1,27.9,,29.9,,26
Larix kaempferi,-3,24.2,28.3,,30.5,,27.8
Larix kaempferi,-3,24.5,28.6,,31.6,,
Larix kaempferi,-3,25.2,29,,,,
Larix kaempferi,-3,,,,,,
Larix kaempferi,-3,,,,,,
Metaseq glypto,-3,17.2,21.7,,21.8,,21.6
Metaseq glypto,-3,18.5,23.5,,22.2,,22.5
Metaseq glypto,-3,21.4,24,,22.9,,22.6
Metaseq glypto,-3,22,24.3,,24.2,,23
Metaseq glypto,-3,20.7,24.7,,24.7,,26.1
Metaseq glypto,-3,21.9,25.7,,27.4,,26.6
Metaseq glypto,-3,22.5,,,27.8,,26.7
Metaseq glypto,-3,25.2,,,,,
Metaseq glypto,-3,,,,,,
Metaseq glypto,-3,,,,,,
Prunus armeniaca,-3,19.7,,,,,
Prunus armeniaca,-3,20.5,,,,,
Prunus armeniaca,-3,21.1,,,,,
Prunus armeniaca,-3,21.8,,,,,
Prunus armeniaca,-3,22.5,,,,,
Prunus armeniaca,-3,20.5,,,,,
Prunus armeniaca,-3,20.8,,,,,
Prunus armeniaca,-3,21.2,,,,,
Prunus armeniaca,-3,22.1,,,,,
Prunus armeniaca,-3,22.5,,,,,
Acer platanoides,-3,19.9,23.4,,25.8,,
Acer platanoides,-3,21.5,23.7,,25.9,,
Acer platanoides,-3,22.2,24.3,,26.8,,
Acer platanoides,-3,21.6,25.1,,28.6,,
Acer platanoides,-3,21.9,25.5,,,,
Acer platanoides,-3,,,,,,
Acer platanoides,-3,,,,,,
Acer platanoides,-3,,,,,,
Acer platanoides,-3,,,,,,
Acer platanoides,-3,,,,,,
Picea abies,-3flu,23,19,26.5,24.4,23.9,18.9
Picea abies,-3flu,23.7,22,28.7,25.2,24.1,20.9
Picea abies,-3flu,24.1,22.3,29.9,30.3,25.6,22
Picea abies,-3flu,24.4,23,,,30.5,22.2
Picea abies,-3flu,21.4,23.9,,,31.5,23.8
Picea abies,-3flu,22.5,24.4,,,,24.3
Picea abies,-3flu,22.9,,,,,26.7
Picea abies,-3flu,,,,,,
Picea abies,-3flu,,,,,,
Picea abies,-3flu,,,,,,
Forsythia,-3flu,15.5,24.7,23.1,23.3,23.9,23.4
Forsythia,-3flu,20.8,24.9,23.7,23.6,25.6,24.4
Forsythia,-3flu,22.6,25,24.7,24,26.6,25.5
Forsythia,-3flu,23.6,25.6,24.9,24.2,26.8,24.6
Forsythia,-3flu,21.8,25.7,25.3,,27.8,25.8
Forsythia,-3flu,21.9,26.3,26.1,,30.7,26
Forsythia,-3flu,22.2,26.6,27.3,,,26.5
Forsythia,-3flu,22.4,27.3,,,,26.8
Forsythia,-3flu,,,,,,
Forsythia,-3flu,,,,,,
Cornus mas,-3flu,15.6,28.5,18.7,19.6,22.8,
Cornus mas,-3flu,18.3,20.2,20,20.6,24,
Cornus mas,-3flu,19.2,20.8,20.8,21.6,25,
Cornus mas,-3flu,20,21.4,21.3,22.3,25.7,
Cornus mas,-3flu,21.6,21.7,22,23.2,26.7,
Cornus mas,-3flu,17.4,22.2,22.4,24.1,27.3,
Cornus mas,-3flu,18.8,23,23.3,24.7,28,
Cornus mas,-3flu,19.8,23.2,23.4,25.6,28.6,
Cornus mas,-3flu,20.5,23.6,24.3,26.3,29.1,
Cornus mas,-3flu,21.7,24.3,24.4,26.9,29.4,
Acer saccharum,-3flu,24.3,29.9,28.3,27.9,29.2,26.7
Acer saccharum,-3flu,24.9,30.2,29.7,29.1,30.3,28.6
Acer saccharum,-3flu,25.5,30.1,29.9,29.2,30.6,29.4
Acer saccharum,-3flu,25.9,30.6,30.7,30.1,31.2,31.3
Acer saccharum,-3flu,28,31.9,,,,
Acer saccharum,-3flu,31,,,,,
Acer saccharum,-3flu,,,,,,
Acer saccharum,-3flu,,,,,,
Acer saccharum,-3flu,,,,,,
Acer saccharum,-3flu,,,,,,
Acer rubrum,-3flu,21.5,22.6,20.2,21.4,20.7,21.6
Acer rubrum,-3flu,21.9,23.5,21,23.3,21.4,24
Acer rubrum,-3flu,22.3,23.7,21.6,24,22.6,24.9
Acer rubrum,-3flu,24.2,24,22.3,25,23.2,25.3
Acer rubrum,-3flu,24.6,24.5,22.7,25.4,24.1,25.7
Acer rubrum,-3flu,25.2,25,23.5,25.9,24.3,26.5
Acer rubrum,-3flu,21.1,25.4,23.7,26.4,24.6,
Acer rubrum,-3flu,21.7,26.1,24.1,26.8,25.2,
Acer rubrum,-3flu,22,26.8,24.5,,26.3,
Acer rubrum,-3flu,22.9,,,,,
Larix kaempferi,-3flu,21.1,22.9,23.9,16.8,16.9,16.6
Larix kaempferi,-3flu,23,23.4,24.1,19.4,21.4,19.6
Larix kaempferi,-3flu,23.7,24.3,24.8,22.3,23.3,20.5
Larix kaempferi,-3flu,25.2,24.6,26.1,23.9,23.7,22.5
Larix kaempferi,-3flu,22.1,25,26.7,25.5,24.8,24.5
Larix kaempferi,-3flu,24.2,,,25.9,25.1,25.7
Larix kaempferi,-3flu,24.5,,,26.8,,26
Larix kaempferi,-3flu,25.2,,,27.3,,27
Larix kaempferi,-3flu,,,,,,
Larix kaempferi,-3flu,,,,,,
Metaseq glypto,-3flu,17.2,21.6,21.8,21,20.1,21.4
Metaseq glypto,-3flu,18.5,23.9,24.5,22.3,20.9,21.3
Metaseq glypto,-3flu,21.4,24.1,25,23,22.3,21.6
Metaseq glypto,-3flu,22,24.3,25.4,25,23.2,23.1
Metaseq glypto,-3flu,20.7,24.9,25.8,25.6,24.2,23.6
Metaseq glypto,-3flu,21.9,25.3,26.1,26.6,24.8,25.5
Metaseq glypto,-3flu,22.5,26.9,,26.7,25.6,
Metaseq glypto,-3flu,25.2,,,,,
Metaseq glypto,-3flu,,,,,,
Metaseq glypto,-3flu,,,,,,
Prunus armeniaca,-3flu,19.7,18,19.1,18.3,21,17.2
Prunus armeniaca,-3flu,20.5,18.3,19.5,18.5,21.3,17.7
Prunus armeniaca,-3flu,21.1,19,21.5,19,21.5,17.9
Prunus armeniaca,-3flu,21.8,19.2,21.7,20.6,21.9,19.4
Prunus armeniaca,-3flu,22.5,20.2,22.2,21.5,22.8,20.7
Prunus armeniaca,-3flu,20.5,20.5,22.3,22.1,23.1,21
Prunus armeniaca,-3flu,20.8,20.8,23,23.1,24.4,21.2
Prunus armeniaca,-3flu,21.2,,23.1,,,21.7
Prunus armeniaca,-3flu,22.1,,24,,,22.9
Prunus armeniaca,-3flu,22.5,,24.3,,,24.6
Acer platanoides,-3flu,19.9,17.2,26.8,19.6,25.8,24.2
Acer platanoides,-3flu,21.5,18.5,27.1,25.8,26.8,25.5
Acer platanoides,-3flu,22.2,20.4,27.3,27.1,28.3,28.4
Acer platanoides,-3flu,21.6,21.5,28.2,28.3,28.8,
Acer platanoides,-3flu,21.9,22.6,28.2,29,29.5,
Acer platanoides,-3flu,,,,,,
Acer platanoides,-3flu,,,,,,
Acer platanoides,-3flu,,,,,,
Acer platanoides,-3flu,,,,,,
Acer platanoides,-3flu,,,,,,
Picea abies,4,23,20.9,20.7,17.9,19.8,9.7
Picea abies,4,23.7,21,20.8,20.1,20.4,10.2
Picea abies,4,24.1,21.7,22,21.6,23,19
Picea abies,4,24.4,22,22.6,22.7,23.4,19.5
Picea abies,4,21.4,,22.9,23.4,23.8,20.8
Picea abies,4,22.5,,,23.5,25,21
Picea abies,4,22.9,,,,,22.2
Picea abies,4,,,,,,22.5
Picea abies,4,,,,,,
Picea abies,4,,,,,,
Forsythia,4,15.5,21.1,20.5,20.4,14.9,19.1
Forsythia,4,20.8,21.9,23.4,20.6,21.4,19.5
Forsythia,4,22.6,22.3,23.5,21.9,21.6,19.6
Forsythia,4,23.6,22.9,23.9,22,22.2,20
Forsythia,4,21.8,23.3,24.1,22.2,22.3,20.5
Forsythia,4,21.9,23.7,24.4,22.6,22.5,20.9
Forsythia,4,22.2,24.3,,22.8,24,21.2
Forsythia,4,22.4,,,23,24.9,21.4
Forsythia,4,,,,,,21.8
Forsythia,4,,,,,,
Cornus mas,4,15.6,19.1,16.8,15.1,18.3,18
Cornus mas,4,18.3,20.1,17.8,17.2,18.9,18.9
Cornus mas,4,19.2,20.5,18.6,18.7,19.6,20
Cornus mas,4,20,20.9,18.9,20,20.6,20.6
Cornus mas,4,21.6,21.6,19.3,20.6,20.9,21
Cornus mas,4,17.4,22,20.2,20.8,21.5,21.3
Cornus mas,4,18.8,22.3,20.7,21.6,22,21.7
Cornus mas,4,19.8,23.3,21.3,22.3,22.4,22.2
Cornus mas,4,20.5,23.6,21.8,22.4,22.7,22.4
Cornus mas,4,21.7,23.8,22.2,24.2,23,22.7
Acer saccharum,4,24.3,28.1,24.7,24.7,28.1,29
Acer saccharum,4,24.9,28.6,27.3,25.1,28.5,29.4
Acer saccharum,4,25.5,29.8,28.1,27.2,29.4,30.7
Acer saccharum,4,25.9,32.5,28.5,27.9,29.5,31.3
Acer saccharum,4,28,,28.9,28.2,,
Acer saccharum,4,31,,,,,
Acer saccharum,4,,,,,,
Acer saccharum,4,,,,,,
Acer saccharum,4,,,,,,
Acer saccharum,4,,,,,,
Acer rubrum,4,21.5,23.7,22.2,20.5,20,22
Acer rubrum,4,21.9,24.1,22.8,22,21.9,23.3
Acer rubrum,4,22.3,24.2,23.6,22.5,22.7,23.6
Acer rubrum,4,24.2,25.2,24.2,23.3,22.9,24.1
Acer rubrum,4,24.6,25.6,24.8,23.6,23,24.9
Acer rubrum,4,25.2,25.8,25.3,24,23.5,25.3
Acer rubrum,4,21.1,26.2,25.8,25.2,23.9,26
Acer rubrum,4,21.7,26.6,26,25.6,,26.3
Acer rubrum,4,22,,26.6,26.1,,26.7
Acer rubrum,4,22.9,,27,,,25.8
Larix kaempferi,4,21.1,24.7,21.3,23.4,23.3,21.8
Larix kaempferi,4,23,25.1,22.4,23.9,23.5,22.3
Larix kaempferi,4,23.7,25.5,22.6,24.7,24.2,22.5
Larix kaempferi,4,25.2,25.6,23,25.9,24.4,22.8
Larix kaempferi,4,22.1,26.9,23.7,26.5,23.7,23.6
Larix kaempferi,4,24.2,,,,,27.6
Larix kaempferi,4,24.5,,,,,
Larix kaempferi,4,25.2,,,,,
Larix kaempferi,4,,,,,,
Larix kaempferi,4,,,,,,
Metaseq glypto,4,17.2,18.9,12.7,20.8,19.4,17.9
Metaseq glypto,4,18.5,19.7,19.8,21.5,19.6,18.6
Metaseq glypto,4,21.4,20.7,20.1,21.9,19.8,19.6
Metaseq glypto,4,22,20.9,21.6,22.1,20.8,20.9
Metaseq glypto,4,20.7,21.7,21.8,22.5,21,21
Metaseq glypto,4,21.9,22.3,22.3,23.3,21.1,21.3
Metaseq glypto,4,22.5,23.4,22.6,23.3,22.2,21.3
Metaseq glypto,4,25.2,,22.7,,22.6,22.1
Metaseq glypto,4,,,,,,
Metaseq glypto,4,,,,,,
